individual	sites	lon	lat	bio18	bio16	bio15	bio10	bio07	bio03	bio02
13A2	aKerguelen	70.533	-49.267	164.6670074	205.3329926	12.6632996	7.6598301	11.5172997	51.1441994	5.8903999
15A2	aKerguelen	70.533	-49.267	164.6670074	205.3329926	12.6632996	7.6598301	11.5172997	51.1441994	5.8903999
18A1	aKerguelen	70.533	-49.267	164.6670074	205.3329926	12.6632996	7.6598301	11.5172997	51.1441994	5.8903999
19A1	aKerguelen	70.533	-49.267	164.6670074	205.3329926	12.6632996	7.6598301	11.5172997	51.1441994	5.8903999
22A1	aKerguelen	70.533	-49.267	164.6670074	205.3329926	12.6632996	7.6598301	11.5172997	51.1441994	5.8903999
24A1	aKerguelen	70.533	-49.267	164.6670074	205.3329926	12.6632996	7.6598301	11.5172997	51.1441994	5.8903999
CRO05	bCrozet	50.4	-46.417	607	716	18.1436005	7.4111099	11.5333004	60.1637993	6.93889
CRO07	bCrozet	50.4	-46.417	607	716	18.1436005	7.4111099	11.5333004	60.1637993	6.93889
CRO08	bCrozet	50.4	-46.417	607	716	18.1436005	7.4111099	11.5333004	60.1637993	6.93889
G4	hGGV	-62.85	-64.817	151.5	272	28.9486008	0.798291	13.3973999	31.9101009	4.27564
G5	iFalkland	-59.35	-52.333	156.75	157.75	18.4766006	9.8065701	11.6947002	36.3297005	4.2481098
G6	aKerguelen	70.533	-49.267	164.6670074	205.3329926	12.6632996	7.6598301	11.5172997	51.1441994	5.8903999
G7	bCrozet	50.4	-46.417	607	716	18.1436005	7.4111099	11.5333004	60.1637993	6.93889
GEN04	cMarion	37.706	-46.967	582	661	8.4925404	6.4398298	9.4098701	55.3672981	5.2161498
GEN05	cMarion	37.706	-46.967	582	661	8.4925404	6.4398298	9.4098701	55.3672981	5.2161498
GEN08	cMarion	37.706	-46.967	582	661	8.4925404	6.4398298	9.4098701	55.3672981	5.2161498
GEN09	cMarion	37.706	-46.967	582	661	8.4925404	6.4398298	9.4098701	55.3672981	5.2161498
GEN10	cMarion	37.706	-46.967	582	661	8.4925404	6.4398298	9.4098701	55.3672981	5.2161498
GSA10	eSigny	-45.583	-60.65	120	212.25	32.269001	-1.60321	18.5240002	38.9822006	7.2182999
GSA12	eSigny	-45.583	-60.65	120	212.25	32.269001	-1.60321	18.5240002	38.9822006	7.2182999
GSA14	eSigny	-45.583	-60.65	120	212.25	32.269001	-1.60321	18.5240002	38.9822006	7.2182999
GSA15	eSigny	-45.583	-60.65	120	212.25	32.269001	-1.60321	18.5240002	38.9822006	7.2182999
GSA7	eSigny	-45.583	-60.65	120	212.25	32.269001	-1.60321	18.5240002	38.9822006	7.2182999
GSA8	eSigny	-45.583	-60.65	120	212.25	32.269001	-1.60321	18.5240002	38.9822006	7.2182999
GSA9	eSigny	-45.583	-60.65	120	212.25	32.269001	-1.60321	18.5240002	38.9822006	7.2182999
GTP06	cMarion	37.706	-46.967	582	661	8.4925404	6.4398298	9.4098701	55.3672981	5.2161498
GTP07	cMarion	37.706	-46.967	582	661	8.4925404	6.4398298	9.4098701	55.3672981	5.2161498
GTP12	cMarion	37.706	-46.967	582	661	8.4925404	6.4398298	9.4098701	55.3672981	5.2161498
P0048	hGGV	-62.85	-64.817	151.5	272	28.9486008	0.798291	13.3973999	31.9101009	4.27564
P0051	hGGV	-62.85	-64.817	151.5	272	28.9486008	0.798291	13.3973999	31.9101009	4.27564
P0052	hGGV	-62.85	-64.817	151.5	272	28.9486008	0.798291	13.3973999	31.9101009	4.27564
P0056	hGGV	-62.85	-64.817	151.5	272	28.9486008	0.798291	13.3973999	31.9101009	4.27564
P0058	hGGV	-62.85	-64.817	151.5	272	28.9486008	0.798291	13.3973999	31.9101009	4.27564
P0065	hGGV	-62.85	-64.817	151.5	272	28.9486008	0.798291	13.3973999	31.9101009	4.27564
P0167	fOhiggins	-57.883	-63.317	131	237	26.2698002	0.163333	14.46	34.9015999	5.04667
P0169	fOhiggins	-57.883	-63.317	131	237	26.2698002	0.163333	14.46	34.9015999	5.04667
P0170	fOhiggins	-57.883	-63.317	131	237	26.2698002	0.163333	14.46	34.9015999	5.04667
P0173	fOhiggins	-57.883	-63.317	131	237	26.2698002	0.163333	14.46	34.9015999	5.04667
P0196	fOhiggins	-57.883	-63.317	131	237	26.2698002	0.163333	14.46	34.9015999	5.04667
P0198	fOhiggins	-57.883	-63.317	131	237	26.2698002	0.163333	14.46	34.9015999	5.04667
P0200	fOhiggins	-57.883	-63.317	131	237	26.2698002	0.163333	14.46	34.9015999	5.04667
P0402	gKing	-58.583	-62.233	172.25	246.25	22.1348	0.283258	12.6313	35.7792015	4.5197201
